term,definition
orthopterology,The scientific study of the Orthoptera.
orthoptics,The study and treatment of muscular irregularities of the eye.
osmics,The scientific study of smells.
osmology,The scientific study of smells
osphresiology,The scientific study of smells.
osteoarchaeology,The scientific study of human remains from archaeological sites.
osteology,The scientific study of the morphology and pathology of bones.
ostracodology,The scientific study of ostracods.
otoacoustics,The science studying otoacoustic sounds.
weights and measures,"The science and regulation of standards for the quantification of size, weight, temperature, etc."
whalelore,"The knowledge, study, or science of whales"
wordlore,"The science, study, or knowledge of words"
bacteriology,"The scientific study of bacteria, especially in relation to disease and agriculture."
batology,"The scientific study of plants in the genus Rubus, commonly known as brambles"
beer-lore,"The knowledge, study, history, or science of beer or beermaking; brewology"
betavoltaics,The study or application of the betavoltaic effect.
bioacoustics,"A cross-disciplinary science that combines biology and acoustics, investigating for instance the mechanisms of sound production and detection."
bioconformatics,"The study and engineering of protein folding, especially alternatively folded forms (or conformers)."
biogeochemistry,"The scientific study of biological, geological and chemical processes in the natural environment and especially of their mutual relationships 2006, Richard F"
biogeoclimatology,"A study of the interrelationships between biology, geology and climate"
biogeodynamics,The (study of the) interplay of biological and geological systems
biolinguistics,Study of the biology and evolution of language.
biomechatronics,"An interdisciplinary science that aims to integrate mechanical elements, electronics, and parts of biological organisms."
biophysics,The interdisciplinary science that applies theories and methods of the physical sciences to questions of biology
biopunk,A science fiction genre that focuses on biotechnology and subversives
biostudy,A biological academic study
birdlore,"The knowledge, science, or study of birds; ornithology"
